trade_date,close,gk_rv,log_rv,rq,log_rq,signed_jump,vol_lag5,vol_lag22,ret_lag5,ret_lag22,abs_ret_lag1,regime_prob,regime_lag5,vol_x_regime
20171110,4.179,5.551676322403884e-05,-9.798825542744034,,,,,,,,,0.01563734480860305,,-0.1532276137312354
20171113,4.188,1.366459518820668e-05,-11.200702363010844,,,,,,,,,0.001774103924428453,,-0.019871210018572585
20171114,4.156,2.2634395552730988e-05,-10.696039881531389,,,,,,,,0.002151309542511859,0.0017815827321965736,,-0.019055879955822207
20171115,4.126,3.476167932149418e-05,-10.266994946838375,,,,,,,,0.007670219771309439,0.006893406577879998,,-0.07077457050159636
20171116,4.165,3.1077608995631905e-05,-10.379022966066616,,,,-10.468317140038252,,,,0.0072446585879206715,0.024413519241029018,,-0.25338847688514937
20171117,4.17,2.827864706377944e-05,-10.473403558823609,2.8146100574839613e-09,-19.688442108046253,,-10.603232743254166,,-0.0021559476550683243,,0.009407860969745885,0.09892271802809717,0.01563734480860305,-1.0360575470439772
20171120,4.203,0.00013980696968022264,-8.875247874756175,3.5824560302771017e-09,-19.447217229776182,,-10.138141845603233,,0.003575263014689467,,0.0011997601919040424,0.47396692070183855,0.001774103924428453,-4.2065739056637215
20171121,4.286,9.71651219920557e-05,-9.239098738134006,3.213789887017725e-08,-17.25322985306846,,-9.846753616923756,,0.030800823814404188,,0.00788252021226965,0.5781008432521539,0.0017815827321965736,-5.34113077140518
20171122,4.285,0.0001529211636269485,-8.785588039781357,3.158696277943627e-08,-17.27052137175508,,-9.550472235512354,,0.03781213740068301,,0.019555341028405282,0.6328710024698156,0.006893406577879998,-5.560143910023251
20171123,4.149,0.00018559164756396033,-8.591961740974162,2.4645240324814113e-07,-15.216096952379226,,-9.193059990493861,,-0.0038489342680751992,,0.00023334500164184924,0.6363437635112066,0.024413519241029018,-5.467441270195796
20171124,4.153,8.690559945633659e-05,-9.350688092137784,2.4645216130794957e-07,-15.216097934071055,,-8.968516897156697,,-0.0040850711620936675,,0.032253210699012325,0.5780085433095522,0.09892271802809717,-5.404777603078536
20171127,4.086,5.4361768972556695e-05,-9.819849427405126,2.596755653651865e-07,-15.163832810631916,,-9.157437207686488,,-0.028232059627549377,,0.0009636232978855741,0.48820523062271404,0.47396692070183855,-4.794101854386646
20171128,4.105,3.454259499020348e-05,-10.273317358067757,2.30520519827573e-07,-15.282925955358914,,-9.364280931673239,,-0.043148154146993356,,0.01626446825318606,0.4316120966512086,0.5781008432521539,-4.434088044478879
20171129,4.101,0.00014115875918097517,-8.865625349356117,2.305206998954572e-07,-15.282925174223188,,-9.38028839358819,,-0.043889705639821086,,0.004639246508961303,0.4235769930411128,0.6328710024698156,-3.7552749269093293
20171130,4.054,7.274510171906905e-05,-9.528548984501535,1.761926383146501e-08,-17.854272997591277,,-9.567605842293663,,-0.023163293320922484,,0.0009748964944695793,0.3644602693814572,0.6363437635112066,-3.47277752970584
20171201,4.057,6.097448054719481e-05,-9.705055133009774,1.761915127074541e-08,-17.85427938611467,,-9.638479250468063,,-0.02338718042430621,,0.011526798380113723,0.29902563137238086,0.5780085433095522,-2.9020602386520133
20171204,4.074,8.128554930966152e-05,-9.417542302477688,3.684763923423167e-09,-19.419059377557264,,-9.558017825482576,,-0.00294117859081644,,0.0007397361945018499,0.24740281906015674,0.48820523062271404,-2.3299265142512593
20171205,4.099,2.700959005891422e-05,-10.519318567656851,3.8722686223702306e-09,-19.369425294326312,,-9.607218067400392,,-0.0014627013821910673,,0.004181533580303709,0.17643547677660487,0.4316120966512086,-1.855980986849529
20171206,4.068,0.00011313515074766505,-9.086927429603612,4.53637361686656e-09,-19.211137906878864,,-9.651478483449893,,-0.008079368223608663,,0.006117723717586676,0.16948535808934154,0.4235769930411128,-1.5401011493382282
20171207,4.022,0.00010178245549801395,-9.192672811549173,4.350717002557106e-09,-19.252925177254443,,-9.584303248859419,,-0.00792475667934811,,0.007591563335887175,0.13844971331668357,0.3644602693814572,-1.2727229153730546
20171208,4.061,5.649298653025891e-05,-9.781394059724725,6.084986457664962e-09,-18.91744133603693,,-9.599571034202409,,0.0009854644798503731,,0.01137218683585317,0.07159102785815422,0.29902563137238086,-0.700260054621337
20171211,4.128,3.9533563204936914e-05,-10.138360545458255,2.0364345610603655e-08,-17.709480229404118,,-9.743734682798523,-9.726644805164044,0.013167710374647701,,0.009649957353700334,0.024797268916755155,0.24740281906015674,-0.25140365282074884
20171212,4.063,3.270885453396438e-05,-10.327864735860405,3.27750889305191e-08,-17.233597093935902,-0.01181354721074401,-9.705443916439233,-9.750692041214789,-0.008821424516610943,-0.028150366460188758,0.016363779475101037,0.007704009114176443,0.17643547677660487,-0.07956596405505005
20171213,4.092,4.132969646872377e-05,-10.093929273558485,3.262254806668994e-08,-17.238262129171822,0.011928937393949486,-9.90684428523021,-9.700384173512408,0.005882369903066564,-0.023189444918910285,0.015871411173671968,0.0034648967291571703,0.16948535808934154,-0.034974422524296604
20171214,4.079,4.58707150829059e-05,-9.98968366013932,2.929797575541471e-08,-17.34574741015591,-0.011848506847930736,-10.066246454948239,-9.668277072540041,0.01407256898496101,-0.018701212901559572,0.007112231083790332,0.0018058707648219469,0.13844971331668357,-0.0180400776716651
20171215,4.025,2.9732893632534425e-05,-10.423256595299227,3.3872537052237795e-08,-17.200661267334834,-0.012073642655632261,-10.194618962063137,-9.675379874742807,-0.008904337833633758,-0.024783503778533333,0.003181987753958726,0.0007809060479782158,0.07159102785815422,-0.008139584114897992
20171218,4.026,5.936088111940343e-05,-9.731875115559596,1.953203205568684e-08,-17.7512100495602,0.011848917114444616,-10.113321876083408,-9.645964063356125,-0.02501970096166195,-0.033942948401206374,0.013326949464894433,0.0009191162455595312,0.024797268916755155,-0.008944724518467366
20171219,4.079,2.2652127516563023e-05,-10.695256780355303,1.2692625116030862e-08,-18.182244711678266,0.012243915689250746,-10.186800284982386,-9.656048300698474,0.003930243329831606,-0.022064175475288827,0.000248416347072844,0.0002503523663582902,0.007704009114176443,-0.002677582843771498
20171220,4.07,2.111765560672179e-05,-10.765401108757167,1.2185641382291437e-08,-18.223007514217883,-0.012083158875293952,-10.321094652022122,-9.74196435678943,-0.005390848634876377,-0.03215555656847613,0.013078533117821589,0.00027746488395455707,0.0034648967291571703,-0.0029870207693655673
20171221,4.12,8.547878862181344e-05,-9.367242299094634,1.6610590540131338e-08,-17.913225360664146,0.011565157092127463,-10.196606379813186,-9.74778906410582,0.010001303026013764,-0.039500733689949996,0.0022088608809176513,0.0013818053674924489,0.0018058707648219469,-0.012943705687491272
20171222,4.101,1.3398908235522515e-05,-11.22033732928768,1.0392999502101529e-08,-18.382133382247225,-0.011574777808552962,-10.356022526610875,-9.858459486356109,0.018705935539395258,-0.043889705639821086,0.012210163906931415,0.0005466160251564516,0.0007809060479782158,-0.006133216191849787
20171225,4.082,0.00011043933127494548,-9.111044226018937,1.0486006096619775e-08,-18.373224221390576,-0.009437241284598207,-10.231856348702744,-9.882054144767235,0.013813737170053297,-0.016280276963077878,0.004622316951512939,0.0037845707509497045,0.0009191162455595312,-0.03448139148840046
20171226,4.094,4.371468095774977e-05,-10.03782656359093,4.649370013914173e-09,-19.18653410740418,0.009463518191567197,-10.10037030534987,-9.913287711651467,0.003670626903676588,-0.014308477409518572,0.004643782022269116,0.002977799900566098,0.0002503523663582902,-0.029890638942960807
20171227,4.026,6.366240592248245e-05,-9.661916343508699,2.0384514544255115e-08,-17.70849031531956,-0.009502084960114541,-9.879673352300177,-9.906108935110721,-0.010869672236903938,-0.01479316917783069,0.00293542285144488,0.0032626799680254464,0.00027746488395455707,-0.0315237409067035
20171228,4.063,7.491532482617117e-05,-9.499152084548898,1.733990566870083e-08,-17.870255305706806,0.009669269788735708,-9.906055309391029,-9.870919604496228,-0.01393154635584537,-0.01028412589880201,0.016749160021498177,0.002749733984112981,0.0013818053674924489,-0.02612014130714177
20171229,4.076,2.3073075376150045e-05,-10.676844188371383,1.7269433736304896e-08,-17.874327734190192,0.009699662776348223,-9.79735668120777,-9.953247733542376,-0.006114731049443822,-0.006114731049443822,0.009148289787989983,0.0005917713524440094,0.0005466160251564516,-0.006318250525186495
20180102,4.136,2.9128571924457374e-05,-10.443791012415138,2.6296327503904232e-08,-17.453836546147894,0.009855861256117376,-10.06390603848701,-9.994849643902086,0.013142072818475015,0.02002508917631962,0.0031944983548886086,0.0004890093779636815,0.0037845707509497045,-0.005107111746563814
20180103,4.158,7.342136687064145e-05,-9.51929556292585,2.643989018449207e-08,-17.448391975356873,0.009900062617938776,-9.960199838353994,-9.98640602708009,0.015511702196723265,0.024590405211510902,0.01461302184564972,0.0010742091196908892,0.002977799900566098,-0.010225714106727964
20180104,4.171,2.2176709005470442e-05,-10.716467963720463,1.0718975837592775e-08,-18.351250223405742,0.00988701339650373,-10.171110162396346,-10.045448102591124,0.035382487997208445,0.023530497410194195,0.00530505222969313,0.0002541925373024176,0.0032626799680254464,-0.002724046182618177
20180105,4.187,2.7876691421048598e-05,-10.48771965124286,9.361107904596848e-09,-18.486702187585866,0.00984330644979747,-10.36882367573514,-10.04401178820867,0.030062870031416722,0.02124144551480578,0.0031216257789870028,0.00023449171492841633,0.002749733984112981,-0.0024592833667083907
20180108,4.204,4.068382893196211e-05,-10.109679868008651,9.394193192880334e-09,-18.483174083992044,0.00967284966499172,-10.255390811662592,-10.0905005354089,0.030920337654226415,0.032884974828391256,0.0038286718221982596,0.0003766964825073013,0.0005917713524440094,-0.003808280845553737
20180109,4.238,2.931913824699984e-05,-10.437270072680626,1.1162563120067862e-09,-20.613285329100492,0.009322699473529435,-10.25408662371569,-10.147073138187602,0.024362322639979395,0.05231216849564713,0.004051965977698302,0.00024589796296611225,0.0004890093779636815,-0.0025665034497993323
20180110,4.256,3.191773437301886e-05,-10.352348766190627,1.022378843588397e-09,-20.701133725410227,0.009192164069755251,-10.420697264368645,-10.173025624845142,0.023295562603522058,0.046900503335182586,0.0080550068314027,0.00021738074000605696,0.0010742091196908892,-0.0022504012355953093
20180111,4.25,1.5968445997732097e-05,-11.044895908065525,1.0041798368830108e-09,-20.719094711315613,-0.00864664768272794,-10.486382853237657,-10.214231777690928,0.018763167721517204,0.0291259547570637,0.004238292193235793,6.85369501054002e-05,0.0002541925373024176,-0.0007569834797704257
20180112,4.273,1.6947565707793878e-05,-10.985386350510947,1.1309095462543203e-09,-20.60024361979737,0.007777886497921952,-10.585916193091276,-10.244119123811407,0.02033166962488142,0.05039453965629814,0.0014107691030178504,0.00012279490455321628,0.00023449171492841633,-0.0013489494683911966
20180115,4.265,6.401193368251719e-05,-9.656441028197483,1.0794631155549752e-09,-20.646802034639897,-0.007748523679315732,-10.495268425129042,-10.224233294476816,0.014405727928937573,0.041408332854262264,0.005397173725562476,0.0008740194399702701,0.0003766964825073013,-0.008439917179571103
20180116,4.308,3.1939960430369424e-05,-10.35165265405202,2.2628814682519698e-09,-19.906626849814398,0.007848755334283829,-10.47814494140332,-10.240686430563755,0.01638229944803471,0.05462189895872083,0.0018739757182455463,0.000603233538436945,0.00024589796296611225,-0.006244464059173992
