mode,ann_ret,max_dd,dd_duration,sharpe,rebalances_per_yr
baseline,0.14462614503701787,-0.2854502688172042,661,0.8827303369842167,-
vol_only,0.08688494580935258,-0.1961828427566987,864,0.9576843952287603,110.4
full,0.08434589118827551,-0.16488020386284266,876,1.1115957116546962,106.5
