trade_date,ts_code,lead_strength,follow_strength,ret_5d,ret_10d,ret_20d,vol_ratio,slope_target
20260623,300308.SZ,0.45532904814398556,0.4533024773348395,0.05509299999999999,0.13452199999999995,0.20072299999999998,1.1639044641120992,0.6680682460054982
20260623,300750.SZ,0.46017216390205923,0.4512927837729295,-0.012014000000000004,0.0020529999999999993,-0.020012999999999993,1.0103365816656942,-0.0221078760253274
20260623,600519.SH,0.3448807167749117,0.3546306391550004,-0.038315,-0.031583,-0.047906,1.218473129579558,-0.006431225264781038
20260623,300502.SZ,0.37753745942839206,0.45424259567766834,0.023398999999999996,0.074878,0.180455,0.9835974713694595,0.4035070597068682
20260623,601318.SH,0.46219314713042864,0.4534451322962407,-0.06901299999999999,-0.019577999999999998,-0.034609,1.2974792324701845,-0.009554090908781265
20260623,601899.SH,0.36074020517079275,0.4252019844529241,-0.11538299999999999,-0.00010000000000000286,-0.10558799999999999,1.3331719162495648,-0.12086665362435652
20260623,600036.SH,0.40222730209789626,0.36718667203426797,-0.040117,-0.028259,0.013691999999999989,1.2628231619103818,-0.010284847409941511
20260623,000333.SZ,0.44441531997633626,0.49270924242497943,-0.035542,-0.057949,-0.01990900000000001,1.054779624476046,-0.0057973199681419
20260623,688256.SH,0.3839423599723334,0.43027337472772414,0.067316,0.13639599999999996,0.028876999999999996,1.0414254478715623,0.8141829590985783
20260623,002475.SZ,0.36520325045159435,0.33400578556639776,0.018758999999999998,0.053864999999999975,-0.061432999999999995,0.9306752891817283,0.01956652357502846
20260623,600900.SH,0.35658578972691884,0.35957180785031534,-0.025459,-0.022824000000000007,0.008595000000000002,1.2754381959718275,-0.004687436536803502
20260623,603986.SH,0.3441686247476001,0.3743950554458704,0.22768499999999997,0.321494,0.24893499999999996,1.1472862036136322,0.32213227570242625
20260623,601166.SH,0.3993259363090634,0.4399367922462977,-0.03149300000000001,-0.020715999999999995,0.029849999999999998,1.489878364016295,-0.006972139049146153
20260623,601138.SH,0.3769000511029825,0.3981069797496064,0.014159000000000005,0.059067999999999996,0.07111899999999997,1.1645723537832102,0.05602811845784448
20260623,688008.SH,0.49768853855101697,0.42162761795187675,0.07908299999999999,0.15116,-0.07152500000000003,0.9986286144629943,0.06643542786222274
20260623,688981.SH,0.4238962934356423,0.4632400682358925,0.084707,0.155255,-0.08038899999999997,0.9415677927688878,0.1237626812276356
20260623,688041.SH,0.38198711052656503,0.4439551210355715,0.06154000000000001,0.20891300000000002,-0.01933599999999998,1.023435607520662,0.17703669168541136
20260623,002371.SZ,0.3582741436868667,0.3506590663784493,0.093405,0.249001,0.07940099999999996,1.0036347566617445,0.301500929929572
20260623,002594.SZ,0.4235091088540019,0.4172384279342903,-0.065353,-0.068988,-0.11842499999999999,0.9135051611506914,-0.05797341091175667
20260623,300274.SZ,0.4686813483155777,0.39716735692885446,0.02829899999999999,0.04671299999999999,-0.07395000000000002,1.128149766556342,0.18655370638818844
20260623,600030.SH,0.48632670352839613,0.350251401778441,0.05646999999999999,0.128324,0.09969099999999999,1.2268343298775006,0.016596351086650675
20260623,603259.SH,0.34179991052721087,0.4023741056079188,0.069403,0.105332,0.05620700000000001,0.8732803403650704,0.04798746992849352
20260623,002384.SZ,0.43535005086078343,0.3769000511029825,0.068513,0.193064,0.15057700000000002,1.1685373650865878,0.11875838026603543
20260623,300059.SZ,0.44982408666104917,0.37143924911077403,0.108964,0.175088,0.062215,1.3705094112315006,0.0743118996642822
20260623,601398.SH,0.40660823554080167,0.4110125051740017,-0.024487999999999996,-0.014487999999999994,0.03141100000000001,1.3514117239071721,-0.005861256436416262
20260623,600276.SH,0.3933578976565299,0.3570403627734479,0.023474,0.065558,2.1000000000004522e-05,1.0326922722248193,0.009261648246902555
20260623,300476.SZ,0.3787296606211768,0.37332080404853835,-0.014644000000000004,0.08131199999999997,-0.10566199999999999,1.043809319893865,-0.2060463373696347
20260623,300394.SZ,0.40532727412868275,0.3967653698476051,0.023471999999999993,0.03806699999999999,0.12177400000000002,1.0467605305170953,-0.4342071446451129
