Date,Open,High,Low,Close,Volume
20191031 00:00,126800,127000,125000,125100,33347533
20191101 00:00,125000,128300,124400,127500,62705733
20191104 00:00,127500,128900,126900,127400,49737996
20191105 00:00,127400,131900,126900,129500,74274389
20191106 00:00,129500,131000,128600,129200,46023920
20191107 00:00,129500,129500,127100,127600,46267281
20191108 00:00,128000,128100,125600,125700,48841866
20191111 00:00,124800,124800,122900,122900,38594267
20191112 00:00,123100,123600,121700,122400,39239395
20191113 00:00,122100,122900,121500,122300,32274979
20191114 00:00,122300,122700,121000,121400,28943647
20191115 00:00,122200,122600,121200,121500,27324299
20191118 00:00,121700,123500,121300,122400,28796529
20191119 00:00,122000,123100,121800,122300,29370803
20191120 00:00,121700,122200,120100,120400,38092059
20191121 00:00,120000,120400,119100,119600,34617175
20191122 00:00,120100,120600,119400,119900,29531099
20191125 00:00,120300,121400,120000,120700,25153256
20191126 00:00,121500,121700,119800,120600,59633264
20191127 00:00,120700,120700,119000,119900,28703956
20191128 00:00,120000,120100,119200,119600,17797225
20191129 00:00,119300,120700,118900,119100,24566935
20191202 00:00,119600,119700,118200,118700,22163020
20191203 00:00,118100,119000,117700,118600,19557865
20191204 00:00,117800,118300,117000,117500,24734662
20191205 00:00,117900,118900,117600,118900,24976130
20191206 00:00,119200,119500,118300,119200,20654438
20191209 00:00,119000,119300,118500,119000,17349258
20191210 00:00,118800,119100,118600,118600,15324640
20191211 00:00,118800,119900,118500,119800,33409045
20191212 00:00,119900,119900,118800,119000,27021203
20191213 00:00,119800,121200,119400,121200,59520554
20191216 00:00,121200,121500,120000,121300,37971632
20191217 00:00,121700,125100,121000,123900,57435605
20191218 00:00,123600,125000,123400,124000,34565268
20191219 00:00,124000,125000,123800,124100,23789907
20191220 00:00,124100,125500,123800,124200,40150148
20191223 00:00,124600,124600,121700,122000,37033891
20191224 00:00,122100,122900,122000,122800,21671029
20191225 00:00,122900,122900,122000,122400,13678175
20191226 00:00,122600,123200,122300,122900,15739054
20191227 00:00,122500,124300,122500,123200,27932109
20191230 00:00,122700,123600,121200,123400,41051555
20191231 00:00,123200,123800,122100,123700,31953628
20200102 00:00,124700,126400,124500,124700,51629079
20200103 00:00,125700,126300,124700,126000,38018810
20200106 00:00,125200,126500,124200,124600,41001193
20200107 00:00,125100,126000,124600,125000,28421482
20200108 00:00,124100,124500,122500,123200,35240536
20200109 00:00,123900,124300,123500,123700,26151448
20200110 00:00,123700,124200,123100,123900,18321252
20200113 00:00,124000,124100,123100,124100,20715566
20200114 00:00,124000,126900,123900,124300,29994561
20200115 00:00,124100,124500,122500,122500,31897217
20200116 00:00,122800,123100,121600,122000,22454876
20200117 00:00,122200,122900,121600,122300,17593111
20200120 00:00,122600,122700,121900,122500,23734609
