Date,Open,High,Low,Close,Volume
20180611 00:00,301700,362000,301700,362000,78829
20180612 00:00,398200,398200,398200,398200,26579
20180613 00:00,438000,438000,438000,438000,45030
20180614 00:00,481800,481800,481800,481800,74267
20180615 00:00,530000,530000,530000,530000,256510
20180619 00:00,583000,583000,583000,583000,1117428
20180620 00:00,641300,641300,641300,641300,1310382
20180621 00:00,705400,705400,705400,705400,1231660
20180622 00:00,720000,727100,634900,665500,128170599
20180625 00:00,682000,716000,672200,691900,69981999
20180626 00:00,678900,755500,671000,741800,62553547
20180627 00:00,742100,749300,717700,740900,44138862
20180628 00:00,733000,753900,674400,682100,53080981
20180629 00:00,686800,743000,677700,719600,45698575
20180702 00:00,707900,714800,691100,700000,32470182
20180703 00:00,702000,711900,658500,692900,33910064
20180704 00:00,681500,681500,655000,659200,26282197
20180705 00:00,650000,718800,648800,688100,34337783
20180706 00:00,688100,745000,687000,708800,49213427
20180709 00:00,708000,715700,691100,715500,31068979
20180710 00:00,750000,758900,716600,724000,36484401
20180711 00:00,700000,789400,695800,770600,49120805
20180712 00:00,760300,847700,756000,847700,43085212
20180713 00:00,820000,884700,810300,827000,48202055
20180716 00:00,827000,847500,801000,839000,29515196
20180717 00:00,831100,841700,796600,822800,28615349
20180718 00:00,822800,843700,801100,822800,27113839
20180719 00:00,820000,851500,806700,828900,25074483
20180720 00:00,825000,911800,820100,909300,42695635
20180723 00:00,890000,905400,875500,886200,25014352
20180724 00:00,885000,929600,875000,917700,26501025
20180725 00:00,910000,950800,825900,825900,45719348
20180726 00:00,805000,826000,766000,782000,39286999
20180727 00:00,780000,786400,756700,760500,22809584
20180730 00:00,765000,773400,750000,768500,18041846
20180731 00:00,767800,767900,705100,722200,28128307
20180801 00:00,720000,736300,710200,714200,17933649
20180802 00:00,704000,732900,700500,725600,19853529
20180803 00:00,717600,731400,686600,696000,17288867
20180806 00:00,690000,710800,676000,696500,15706945
20180807 00:00,704800,744600,700000,737900,19964947
20180808 00:00,735000,735800,711100,715200,14770817
20180809 00:00,714000,756600,703000,740600,18474864
20180810 00:00,736000,744900,730200,744400,11673860
20180813 00:00,730000,741900,720300,740100,10949557
20180814 00:00,738000,738900,714400,715700,11735618
20180815 00:00,709800,720300,690000,691100,12916705
20180816 00:00,680000,698800,662100,689900,10715293
20180817 00:00,699000,705100,681000,681600,8224837
20180820 00:00,678800,691100,660000,689500,10922929
20180821 00:00,689700,707800,680200,695700,10208839
20180822 00:00,690600,702500,672100,674700,8999917
20180823 00:00,676500,696500,670800,691000,12193136
20180824 00:00,678100,712000,677000,688000,13360932
20180827 00:00,685800,709800,678900,704600,12915092
20180828 00:00,706100,743200,704000,730100,18813962
20180829 00:00,726000,735000,718100,730200,10333837
20180830 00:00,731900,740000,696300,699900,13681809
20180831 00:00,684900,692000,650100,655000,15901213
20180903 00:00,648000,648000,610000,632600,15910805
20180904 00:00,632000,642500,627600,638500,8067558
20180905 00:00,636000,639800,613900,613900,9689281
20180906 00:00,606000,626500,603200,618400,8854073
20180907 00:00,624900,648800,622100,633200,12748586
20180910 00:00,635600,637900,610000,613500,6545100
20180911 00:00,614000,631600,614000,625700,6629327
20180912 00:00,628000,652500,626100,645000,12115986
20180913 00:00,656400,661000,633900,648000,9852036
20180914 00:00,663000,690000,658600,659000,15831828
20180917 00:00,645700,654800,635900,637100,7131416
20180918 00:00,630000,664100,629900,663600,7789233
20180919 00:00,659900,685600,654500,673300,9502594
20180920 00:00,670100,699000,670100,679900,10200717
20180921 00:00,686300,699000,678600,691900,7748207
20180925 00:00,684000,693000,677100,683300,4204191
20180926 00:00,686600,735000,686600,728900,16061574
20180927 00:00,722500,749500,717000,725500,13694667
20180928 00:00,721100,750900,721100,730000,11921098
20181008 00:00,718800,718800,678000,684500,13116724
20181009 00:00,689100,691600,641000,649000,13389377
20181010 00:00,656100,658000,636000,649000,7163213
20181011 00:00,618800,634700,595100,604500,12809465
20181012 00:00,604500,631600,603800,628600,8600315
20181015 00:00,688000,691500,678800,691500,19801487
20181016 00:00,700000,703600,679400,688500,10452197
20181017 00:00,697700,717800,692100,700000,14232165
20181018 00:00,687000,714000,655200,680300,10810902
20181019 00:00,670100,742600,670100,737700,14125112
20181022 00:00,740900,811000,740900,791000,18106362
20181023 00:00,781000,799600,761000,780000,12736627
20181024 00:00,778400,794700,761200,770000,10042803
20181025 00:00,750000,815800,745100,809100,13372207
20181026 00:00,806900,806900,730100,746000,17691702
20181029 00:00,749400,754000,706000,707600,12719771
20181030 00:00,706500,753500,698800,750000,12887554
20181031 00:00,752900,774300,742000,745000,9794351
20181101 00:00,752000,768200,732100,736100,9723959
20181102 00:00,761400,786300,760500,784800,13705894
20181105 00:00,784800,824800,778000,793900,13063517
20181106 00:00,790300,824000,760000,815700,12165834
20181107 00:00,802000,823800,782100,790400,12658732
20181108 00:00,798400,803800,768900,773100,8044866
20181109 00:00,770000,790500,766600,777500,6063937
20181112 00:00,770000,838000,767000,832500,14889918
20181113 00:00,820000,825100,798000,816300,14287007
20181114 00:00,804100,830000,797500,810000,10790715
20181115 00:00,804100,822000,799000,813500,7576857
20181116 00:00,816800,817600,786200,801100,9809408
20181119 00:00,795900,814800,790000,793500,7259001
20181120 00:00,787100,792000,775600,777700,7722096
20181121 00:00,775000,797500,765000,786500,7314829
20181122 00:00,782000,794400,776000,779100,4071768
20181123 00:00,779100,779500,739000,739800,10403744
20181126 00:00,738000,748800,728000,746200,7610013
20181127 00:00,746800,768500,737600,756000,7953332
20181128 00:00,757500,794800,752500,786800,9918840
20181129 00:00,795000,815000,780300,780300,9736251
20181130 00:00,780100,809900,780100,800300,9067577
20181203 00:00,825200,834900,805600,808500,12645226
20181204 00:00,802000,830800,800400,823000,9579665
20181205 00:00,810000,826000,806000,813700,7391554
20181206 00:00,808000,822800,790000,790100,11385399
20181207 00:00,791800,804600,791800,797000,5642133
20181210 00:00,794500,803700,768000,782900,7606831
20181211 00:00,785000,791800,778200,785600,3450062
20181212 00:00,793400,819800,790000,815000,9472483
20181213 00:00,819200,822700,805800,821100,7244428
20181214 00:00,819300,824800,793100,793400,7090513
20181217 00:00,788000,804900,770000,801600,6864481
20181218 00:00,790000,805900,786800,795500,4885589
20181219 00:00,791600,817000,783400,795000,7092653
20181220 00:00,793800,793900,762300,773400,9773738
20181221 00:00,775400,785000,756000,785000,8873743
20181224 00:00,776800,792400,770100,780300,5938803
20181225 00:00,770400,777400,756500,772000,6588306
20181226 00:00,772000,779000,755300,759000,4925282
20181227 00:00,772000,774800,757800,757800,4881471
20181228 00:00,756900,766200,738000,738000,5629239
20190102 00:00,742500,749700,735300,736600,4394096
20190103 00:00,725100,745400,725100,738300,4494903
20190104 00:00,733300,772400,732300,769600,7905331
20190107 00:00,769400,776500,763000,774200,5969559
20190108 00:00,772200,794500,772000,793300,8574990
