trade_date,ts_code,sector,total_mv,pb,momentum_20d
20190102,603787.SH,汽车,195840.0000,2.0798,-0.0264
20190102,603859.SH,计算机,205997.8400,3.0421,0.0639
20190102,603887.SH,计算机,198996.0000,2.4078,-0.1039
20190102,603922.SH,汽车,197248.0000,1.7458,-0.1453
20190102,603977.SH,化工,270342.6802,1.4751,-0.0762
20190102,603985.SH,电气设备,215280.0000,2.0123,0.0098
20190103,600099.SH,汽车,126870.4800,2.6947,-0.1201
20190103,600110.SH,电气设备,461275.1509,2.2138,-0.1264
20190103,600114.SH,机械设备,407339.4509,1.5436,-0.1187
20190103,600148.SH,汽车,207038.5664,5.0809,-0.0930
20190103,600150.SH,国防军工,1830140.1701,1.2268,-0.0228
20190103,600166.SH,汽车,1187283.3696,0.6985,-0.0481
20190103,600170.SH,建筑装饰,2742554.5002,1.1618,0.0132
20190103,600172.SH,机械设备,457658.5760,0.9382,-0.2327
20190103,600182.SH,汽车,503880.0000,5.6000,-0.1323
20190103,600186.SH,食品饮料,199660.5705,,-0.1256
20190103,600198.SH,通信,589248.4593,,-0.0248
20190103,600218.SH,汽车,168521.0350,0.8720,-0.1109
20190103,600262.SH,机械设备,302940.0000,2.7250,-0.0566
20190103,600271.SH,计算机,4231633.7392,4.2636,-0.0553
20190103,600302.SH,机械设备,149130.2255,1.2667,-0.0401
20190103,600303.SH,汽车,270241.6844,0.9095,-0.1150
20190103,600325.SH,房地产,1287715.4945,1.0373,-0.0209
20190103,600326.SH,建筑材料,571153.7766,1.9157,-0.0730
20190103,600343.SH,机械设备,533540.5069,2.4317,-0.0245
20190103,600382.SH,钢铁,359455.0513,0.6697,-0.1454
20190103,600419.SH,食品饮料,277119.0913,3.0408,-0.0990
20190103,600421.SH,机械设备,142201.2000,1113.0721,-0.0176
20190103,600435.SH,国防军工,1184009.4000,5.6832,0.0051
20190103,600444.SH,机械设备,138368.7257,2.5436,-0.0771
20190103,600480.SH,汽车,354955.3535,0.9042,-0.0769
20190103,600482.SH,电气设备,3753471.5856,1.4490,-0.0206
20190103,600502.SH,建筑装饰,611011.8966,0.9271,-0.0944
20190103,600512.SH,建筑装饰,346961.9145,0.8174,-0.0805
20190103,600517.SH,非银金融,438042.2068,1.3460,-0.1455
20190103,600520.SH,机械设备,200889.2400,4.6987,-0.0792
20190103,600530.SH,食品饮料,340860.0000,2.2598,-0.1692
20190103,600536.SH,计算机,1025723.2099,5.5604,-0.1596
20190103,600538.SH,医药生物,187618.0787,2.8715,-0.1217
20190103,600545.SH,机械设备,1398814.7903,5.0299,-0.0353
20190103,600558.SH,机械设备,282745.5218,1.4677,-0.1176
20190103,600560.SH,机械设备,186296.7015,2.4727,0.0387
20190103,600562.SH,国防军工,821502.9491,4.6474,-0.1081
20190103,600590.SH,国防军工,476464.3312,1.2448,-0.0924
20190103,600592.SH,机械设备,218555.8033,1.1952,-0.0944
20190103,600610.SH,化工,203542.1750,152.8639,0.1176
20190103,600667.SH,建筑装饰,1072050.8006,1.7207,-0.1587
20190103,600679.SH,汽车,398176.9575,2.9470,-0.1639
20190103,600699.SH,汽车,2191908.3010,1.5281,-0.0224
20190103,600728.SH,计算机,1071638.9297,3.2539,-0.1917
20190103,600743.SH,房地产,572448.6133,0.7758,-0.0615
20190103,600756.SH,计算机,486472.2283,2.1946,-0.0875
20190103,600815.SH,机械设备,286732.0267,6.5235,-0.1048
20190103,600820.SH,建筑装饰,1971348.2509,0.9899,0.0433
20190103,600841.SH,汽车,566815.1488,1.5301,-0.1280
20190103,600845.SH,计算机,1937973.1202,3.0023,0.0091
20190103,600873.SH,化工,1268135.4155,1.4363,-0.0332
20190103,600877.SH,电子,306527.7898,,-0.0089
20190103,600883.SH,农林牧渔,143541.5040,2.1689,-0.1188
20190103,600893.SH,国防军工,4976655.9234,1.9053,-0.0745
20190103,600903.SH,公用事业,1680448.8934,7.2388,-0.1638
20190103,600929.SH,化工,741542.9276,3.1608,-0.0605
20190103,600960.SH,汽车,330779.4003,0.6481,-0.1982
20190103,600990.SH,国防军工,549963.8251,2.5847,-0.0884
20190103,601058.SH,汽车,610530.1234,0.9464,-0.0813
20190103,601068.SH,建筑装饰,1532796.5335,1.8131,-0.1100
20190103,601186.SH,建筑装饰,14611586.6540,1.0141,-0.0401
20190103,601326.SH,交通运输,1748859.9560,1.2428,-0.0369
20190103,601500.SH,汽车,472497.4053,1.7919,-0.1022
20190103,601519.SH,计算机,667867.2000,4.9712,-0.1064
20190103,601633.SH,汽车,5093016.1020,0.9927,-0.1171
20190103,601668.SH,建筑装饰,23511697.6948,1.0957,-0.0744
20190103,601669.SH,建筑装饰,7496527.1618,0.9645,0.0145
20190103,601727.SH,电气设备,7362593.7295,1.2945,-0.0329
20190103,601886.SH,建筑装饰,836686.2500,1.2052,0.0342
20190103,601998.SH,银行,26131181.3700,0.6714,-0.0681
20190103,603015.SH,机械设备,243912.8000,2.0225,-0.0965
20190103,603081.SH,机械设备,476133.0000,2.9042,-0.1248
20190103,603100.SH,机械设备,301385.0000,1.4456,-0.0949
20190103,603131.SH,机械设备,349233.9997,3.0208,0.0429
20190103,603283.SH,机械设备,274908.2271,3.8812,-0.0710
20190103,603322.SH,通信,362880.0000,7.3764,0.2991
20190103,603360.SH,化工,216170.8080,2.8341,-0.1409
20190103,603458.SH,建筑装饰,383187.3967,1.8069,-0.0571
20190103,603528.SH,计算机,403845.9600,2.7998,0.0078
20190103,603585.SH,化工,371700.0000,2.2205,-0.0609
20190103,603596.SH,汽车,824884.6590,4.3602,-0.0330
20190103,603612.SH,化工,392295.6362,1.6370,-0.0588
20190103,603629.SH,电子,332700.0000,3.6076,
20190103,603668.SH,农林牧渔,217632.4407,2.4311,-0.0497
20190103,603688.SH,化工,356859.8028,2.6089,0.0028
20190103,603722.SH,化工,185538.0000,3.5862,-0.1535
20190103,603738.SH,电子,191264.4456,3.1642,-0.1204
20190103,603787.SH,汽车,187884.0000,1.9953,-0.0863
20190103,603859.SH,计算机,207019.8800,3.0572,0.0122
20190103,603887.SH,计算机,196112.0000,2.3729,-0.1276
20190103,603922.SH,汽车,194944.0000,1.7254,-0.1458
20190103,603977.SH,化工,270342.6802,1.4751,-0.1459
20190103,603985.SH,电气设备,208416.0000,1.9481,-0.0176
20190104,600099.SH,汽车,129061.6800,2.7413,-0.1021
20190104,600110.SH,电气设备,468177.0235,2.2469,-0.0915
20190104,600114.SH,机械设备,415086.0015,1.5730,-0.0801
20190104,600148.SH,汽车,210576.4776,5.1677,-0.0528
20190104,600150.SH,国防军工,1850811.9341,1.2406,0.0007
20190104,600166.SH,汽车,1200623.6322,0.7063,-0.0217
20190104,600170.SH,建筑装饰,2778172.0911,1.1769,0.0365
20190104,600172.SH,机械设备,481279.6638,0.9866,-0.1620
20190104,600182.SH,汽车,529040.0000,5.8797,-0.0699
20190104,600186.SH,食品饮料,204970.6920,,-0.0810
20190104,600198.SH,通信,600715.8694,,-0.0216
20190104,600218.SH,汽车,171839.8300,0.8891,-0.0916
20190104,600262.SH,机械设备,302260.0000,2.7189,-0.0502
20190104,600271.SH,计算机,4654424.6102,4.6896,0.0657
20190104,600302.SH,机械设备,154666.3824,1.3137,0.0136
20190104,600303.SH,汽车,270917.2886,0.9117,-0.1283
20190104,600325.SH,房地产,1317366.8382,1.0612,0.0032
20190104,600326.SH,建筑材料,583269.1597,1.9563,-0.0371
20190104,600343.SH,机械设备,539922.5704,2.4608,-0.0128
20190104,600382.SH,钢铁,365056.9482,0.6801,-0.1223
20190104,600419.SH,食品饮料,281675.6085,3.0908,-0.0653
20190104,600421.SH,机械设备,145917.6000,1142.1620,0.0404
20190104,600435.SH,国防军工,1198902.6000,5.7547,0.0334
20190104,600444.SH,机械设备,141882.8521,2.6082,-0.0406
20190104,600480.SH,汽车,368152.4115,0.9378,-0.0527
20190104,600482.SH,电气设备,3775783.0308,1.4576,-0.0112
20190104,600502.SH,建筑装饰,629944.6596,0.9558,-0.0518
20190104,600512.SH,建筑装饰,354956.4287,0.8362,-0.0593
20190104,600517.SH,非银金融,481439.5772,1.4793,-0.0405
20190104,600520.SH,机械设备,208652.3100,4.8802,-0.0266
20190104,600530.SH,食品饮料,347880.0000,2.3064,-0.1238
20190104,600536.SH,计算机,1099413.0644,5.9598,-0.1054
20190104,600538.SH,医药生物,195048.4977,2.9852,-0.0389
20190104,600545.SH,机械设备,1398814.7903,5.0299,-0.0366
20190104,600558.SH,机械设备,293516.7797,1.5236,-0.0992
20190104,600560.SH,机械设备,191887.8390,2.5469,0.0593
