ts_code,end_date,ann_date,roe,roa,roic,grossprofit_margin,current_ratio,quick_ratio,netprofit_margin,debt_to_assets,assets_turn,accruals_ratio
000017.SZ,20250630,20250819,5.2634,3.9415,5.124,14.79,1.789,1.2523,5.92,25.11,0.6875,3.0781
000017.SZ,20250331,20250429,1.7036,1.4355,1.8661,9.3,3.2124,2.2487,3.72,15.74,0.3652,
000017.SZ,20250331,20250429,1.7036,1.4355,1.8661,9.3,3.2124,2.2487,3.72,15.74,0.3652,
000019.SZ,20250930,20251028,4.9154,3.4986,4.5481,15.53,1.4816,1.0371,6.21,28.82,0.5322,-4.195
000019.SZ,20250630,20250820,3.5767,2.4952,3.2438,18.45,1.3843,0.969,7.38,30.24,0.3228,-3.1893
000019.SZ,20250331,20250429,1.8392,1.2522,1.6278,18.61,1.2798,0.8959,7.44,31.92,0.1627,-3.3952
000019.SZ,20241231,20250429,6.677,4.2595,5.5373,15.08,1.0572,0.74,6.03,36.21,0.7113,1.0471
000020.SZ,20250930,20251025,5.1333,2.8959,3.7646,7.79,0.7766,0.5436,3.11,43.59,0.9529,3.1012
000020.SZ,20250630,20250819,3.4905,1.9565,2.5435,7.86,0.7653,0.5357,3.14,43.95,0.6398,5.2174
000020.SZ,20250331,20250422,1.4568,0.8299,1.0789,6.98,0.7943,0.556,2.79,43.03,0.3034,8.8038
000020.SZ,20241231,20250422,9.5352,5.6586,7.3562,11.25,0.8758,0.6131,4.5,40.66,1.3059,-1.9715
000021.SZ,20250930,20251030,6.1412,3.5319,4.5914,21.91,0.8121,0.5685,8.77,42.49,0.4152,-1.677
000021.SZ,20250930,20251030,6.1412,3.5319,4.5914,21.91,0.8121,0.5685,8.77,42.49,0.4152,-1.677
000021.SZ,20250630,20250828,3.7335,1.9889,2.5856,19.39,0.684,0.4788,7.76,46.73,0.2784,-2.2119
000021.SZ,20250331,20250430,1.4891,0.7719,1.0035,16.93,0.6458,0.4521,6.77,48.16,0.1206,-2.735
000025.SZ,20250930,20251028,6.9944,5.2063,6.7682,25.41,1.7469,1.2229,10.16,25.57,0.4449,-0.3837
000025.SZ,20250630,20250822,4.8081,3.4158,4.4406,23.24,1.4721,1.0305,9.29,28.96,0.3302,-0.8425
000025.SZ,20250630,20250822,4.8081,3.4158,4.4406,23.24,1.4721,1.0305,9.29,28.96,0.3302,-0.8425
000025.SZ,20250331,20250425,1.9626,1.4696,1.9105,23.97,1.7886,1.252,9.59,25.12,0.1271,-1.5516
000026.SZ,20250930,20251025,3.6939,3.185,4.1405,11.68,3.755,2.6285,4.67,13.78,0.6751,-1.989
000026.SZ,20250630,20250823,2.4517,2.1072,2.7393,11.55,3.6695,2.5687,4.62,14.05,0.4525,-2.0472
000026.SZ,20250331,20250425,1.3242,1.1751,1.5276,12.26,4.7288,3.3102,4.9,11.26,0.2341,-0.8309
000026.SZ,20241231,20250314,6.5525,5.5456,7.2093,13.98,3.3046,2.3132,5.59,15.37,0.9597,-1.4565
000027.SZ,20250930,20251031,3.9825,1.5192,1.975,21.84,0.37,0.259,8.73,61.85,0.1952,-4.6217
000027.SZ,20250630,20250828,3.4659,1.3218,1.7183,26.47,0.3699,0.2589,10.59,61.86,0.1277,-1.3985
000027.SZ,20250630,20250828,3.4659,1.3218,1.7183,26.47,0.3699,0.2589,10.59,61.86,0.1277,-1.3985
000027.SZ,20250331,20250430,2.7425,1.0279,1.3363,40.1,0.3597,0.2518,16.04,62.52,0.0586,-1.6601
000028.SZ,20250930,20251031,5.3027,2.2597,2.9377,4.62,0.4456,0.3119,1.85,57.38,1.1237,1.4837
000028.SZ,20250630,20250830,3.7196,1.5675,2.0378,4.84,0.437,0.3059,1.94,57.86,0.7511,0.9774
000028.SZ,20250331,20250425,1.8392,0.7759,1.0086,4.75,0.4378,0.3064,1.9,57.82,0.3749,6.5342
000028.SZ,20241231,20250408,3.6626,1.5985,2.0781,0.8,0.4647,0.3253,0.32,56.36,1.5638,-4.1113
000029.SZ,20250930,20251027,4.0448,2.7528,3.5786,40.06,1.2783,0.8948,16.02,31.94,0.1605,1.6339
000029.SZ,20250630,20250828,2.8885,1.8711,2.4324,40.09,1.1034,0.7724,16.04,35.22,0.1118,1.8487
000029.SZ,20250630,20250828,2.8885,1.8711,2.4324,40.09,1.1034,0.7724,16.04,35.22,0.1118,1.8487
000029.SZ,20250331,20250428,2.0403,1.2419,1.6145,54.55,0.9334,0.6534,21.82,39.13,0.0565,1.2598
000030.SZ,20250930,20251029,5.4697,2.842,3.6946,12.02,0.6489,0.4543,4.81,48.04,0.6582,0.6879
000030.SZ,20250630,20250828,3.8118,2.019,2.6247,12.67,0.6757,0.473,5.07,47.03,0.435,1.2037
000030.SZ,20250331,20250429,2.0356,1.0739,1.396,13.46,0.67,0.469,5.38,47.25,0.2012,3.1422
000030.SZ,20250331,20250429,2.0356,1.0739,1.396,13.46,0.67,0.469,5.38,47.25,0.2012,3.1422
000031.SZ,20250930,20251031,-5.1423,-1.2654,-1.6451,1.57,0.1958,0.1371,0.63,75.39,0.1194,-4.3783
000031.SZ,20250630,20250830,1.0161,0.2521,0.3277,12.27,0.1979,0.1386,4.91,75.19,0.0875,-19.8967
000031.SZ,20250331,20250430,-2.4597,-0.5771,-0.7502,3.15,0.1839,0.1287,1.26,76.54,0.0287,-3.5017
000031.SZ,20250331,20250430,-2.4597,-0.5771,-0.7502,3.15,0.1839,0.1287,1.26,76.54,0.0287,-3.5017
000032.SZ,20250930,20251029,-4.7374,-0.8346,-1.0849,-2.01,0.1283,0.0898,-0.81,82.38,0.4802,14.6337
000032.SZ,20250630,20250828,-1.5294,-0.2706,-0.3518,0.25,0.129,0.0903,0.1,82.3,0.3391,44.7153
000032.SZ,20250630,20250828,-1.5294,-0.2706,-0.3518,0.25,0.129,0.0903,0.1,82.3,0.3391,44.7153
000032.SZ,20250331,20250425,-0.5259,-0.0959,-0.1246,0.37,0.1338,0.0936,0.15,81.77,0.1813,55.1639
000034.SZ,20250930,20251031,6.5852,1.5558,2.0225,1.7,0.1856,0.1299,0.68,76.37,2.1383,2.1015
000034.SZ,20250630,20250828,4.2491,1.0154,1.3201,1.57,0.1884,0.1319,0.63,76.1,1.526,-0.0973
000034.SZ,20250331,20250426,2.1809,0.5511,0.7164,1.86,0.2029,0.142,0.74,74.73,0.7015,-10.5842
000034.SZ,20241231,20250329,8.4562,1.8585,2.416,1.52,0.169,0.1183,0.61,78.02,2.84,-2.2099
000035.SZ,20250930,20251031,2.8896,0.9936,1.2916,20.71,0.3144,0.2201,8.28,65.62,0.1277,-0.5285
000035.SZ,20250630,20250822,1.9583,0.6769,0.8799,20.86,0.3169,0.2219,8.35,65.44,0.0842,-0.5778
000035.SZ,20250331,20250429,0.9751,0.3552,0.4617,23.74,0.3438,0.2406,9.5,63.58,0.0404,-2.175
000035.SZ,20250331,20250429,0.9751,0.3552,0.4617,23.74,0.3438,0.2406,9.5,63.58,0.0404,-21.295
000036.SZ,20250930,20251031,0.7023,0.5471,0.7113,36.77,2.1157,1.481,14.71,22.09,0.0425,2.786
000036.SZ,20250930,20251031,0.7023,0.5471,0.7113,36.77,2.1157,1.481,14.71,22.09,0.0425,2.786
000036.SZ,20250630,20250827,0.0402,0.0314,0.0408,11.57,2.1428,1.5,4.63,21.88,0.0281,
000036.SZ,20250331,20250430,0.1129,0.0886,0.1152,21.36,2.1901,1.533,8.55,21.5,0.0144,
000037.SZ,20250930,20251028,-1.3496,-1.008,-1.3104,-14.09,1.7706,1.2394,-5.63,25.31,0.1386,1.4894
000037.SZ,20250930,20251028,-1.3496,-1.008,-1.3104,-14.09,1.7706,1.2394,-5.63,25.31,0.1386,1.4894
000037.SZ,20250630,20250822,-1.4723,-1.1042,-1.4354,-37.62,1.7996,1.2597,-15.05,25.0,0.0833,1.8615
000037.SZ,20250630,20250822,-1.4723,-1.1042,-1.4354,-37.62,1.7996,1.2597,-15.05,25.0,0.0833,1.8615
000039.SZ,20250930,20251031,3.0034,1.1828,1.5377,5.11,0.3898,0.2729,2.05,60.62,0.6689,-5.5016
000039.SZ,20250630,20250828,2.4623,0.96,1.2479,5.8,0.3834,0.2684,2.32,61.01,0.4346,-4.7826
000039.SZ,20250331,20250429,1.0683,0.4061,0.5279,4.99,0.3679,0.2575,2.0,61.99,0.2057,-9.5438
000039.SZ,20250331,20250429,1.0683,0.4061,0.5279,4.99,0.3679,0.2575,2.0,61.99,0.2057,
000042.SZ,20250930,20251028,1.8714,0.1671,0.2172,6.83,0.0588,0.0412,2.73,91.07,0.0628,-81.8984
000042.SZ,20250630,20250822,5.6553,0.5508,0.716,27.67,0.0647,0.0453,11.07,90.26,0.0527,-18.666
000042.SZ,20250331,20250429,4.1127,0.429,0.5577,33.42,0.0699,0.0489,13.37,89.57,0.0339,-18.1897
000042.SZ,20250331,20250429,4.1127,0.429,0.5577,33.42,0.0699,0.0489,13.37,89.57,0.0339,-18.1897
000045.SZ,20250930,20251027,2.0058,1.6259,2.1137,8.26,2.5681,1.7977,3.3,18.94,0.469,-1.8612
000045.SZ,20250630,20250823,1.1938,0.9556,1.2422,7.42,2.4065,1.6845,2.97,19.96,0.3038,-8.2284
000045.SZ,20250331,20250428,0.7043,0.5615,0.7299,9.33,2.3584,1.6509,3.73,20.28,0.147,-12.1311
000045.SZ,20250331,20250428,0.7043,0.5615,0.7299,9.33,2.3584,1.6509,3.73,20.28,0.147,-12.1311
000048.SZ,20250930,20251029,6.995,2.8537,3.7098,20.63,0.4135,0.2894,8.25,59.2,0.3424,-0.7507
000048.SZ,20250630,20250823,5.2356,2.1819,2.8365,24.1,0.4287,0.3001,9.64,58.33,0.2219,-0.3677
000048.SZ,20250331,20250425,2.5756,1.0569,1.374,25.76,0.4176,0.2923,10.3,58.96,0.1015,0.8862
000048.SZ,20241231,20250331,17.5281,6.9667,9.0568,30.84,0.3958,0.2771,12.33,60.25,0.5166,-0.366
000049.SZ,20250930,20251029,3.4078,1.2998,1.6898,2.6,0.37,0.259,1.04,61.86,0.9378,-2.0707
000049.SZ,20250930,20251029,3.4078,1.2998,1.6898,2.6,0.37,0.259,1.04,61.86,0.9378,-2.0707
000049.SZ,20250630,20250826,1.4872,0.5852,0.7608,0.9,0.3893,0.2725,0.36,60.65,0.5829,-5.1514
000049.SZ,20250331,20250422,0.7371,0.305,0.3965,1.43,0.4235,0.2964,0.57,58.62,0.2649,-11.1597
000050.SZ,20250930,20251031,1.1437,0.4407,0.573,2.62,0.3762,0.2633,1.05,61.46,0.3364,-19.6389
000050.SZ,20250630,20250823,0.752,0.2886,0.3751,2.49,0.3736,0.2615,1.0,61.63,0.22,-18.2649
000050.SZ,20250630,20250823,0.752,0.2886,0.3751,2.49,0.3736,0.2615,1.0,61.63,0.22,-18.2649
000050.SZ,20250331,20250422,0.353,0.1325,0.1723,2.05,0.3607,0.2525,0.82,62.45,0.1042,-22.0689
